ts,basis_bps,close,day_of_week_cos,day_of_week_sin,depth10_ask_usd,depth10_bid_usd,funding_rate,funding_rate_twap_60m,high,index_price,low,mark_price,mid,minute_of_day_cos,minute_of_day_sin,ofi_10s,ofi_1s,ofi_30s,ofi_5s,oi_zscore_24h,open,realized_vol_240m,realized_vol_60m,spread,spread_bps,symbol,volume,view_id,feat_missing_basis_bps,feat_missing_close,feat_missing_day_of_week_cos,feat_missing_day_of_week_sin,feat_missing_depth10_ask_usd,feat_missing_depth10_bid_usd,feat_missing_funding_rate,feat_missing_funding_rate_twap_60m,feat_missing_high,feat_missing_index_price,feat_missing_low,feat_missing_mark_price,feat_missing_mid,feat_missing_minute_of_day_cos,feat_missing_minute_of_day_sin,feat_missing_ofi_10s,feat_missing_ofi_1s,feat_missing_ofi_30s,feat_missing_ofi_5s,feat_missing_oi_zscore_24h,feat_missing_open,feat_missing_realized_vol_240m,feat_missing_realized_vol_60m,feat_missing_spread,feat_missing_spread_bps,feat_missing_volume
2025-12-06 09:44:00+00:00,-5.31688268703356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2838.495,0.0,2838.495,2838.495,0.0,0.0,-134.04000000000005,-171.04000000000005,-74.91000000000004,-112.07000000000004,0.0,0.0,0.06279974513226726,0.06279974513226726,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:44:10+00:00,-4.7534207023792066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2838.705,0.0,2838.705,2838.705,0.0,0.0,-65.04,8.180000000000001,-90.94000000000005,-45.339999999999996,0.0,0.0,0.047205105645844465,0.047205105645844465,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:44:20+00:00,-5.175746522216116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2838.705,0.0,2838.705,2838.705,0.0,0.0,-56.61999999999999,-14.73,-10.919999999999986,-23.529999999999994,0.0,0.0,0.03847729133715879,0.03847729133715879,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:44:30+00:00,-5.140537362200278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2838.705,0.0,2838.705,2838.705,0.0,0.0,0.4499999999999996,-3.419999999999998,-51.22999999999999,-7.529999999999991,0.0,0.0,0.03387285008157563,0.03387285008157563,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:44:40+00:00,-5.6704117211993355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2837.315,0.0,2837.315,2837.315,0.0,0.0,55.62999999999999,-35.49,-28.130000000000045,74.03,0.0,0.0,0.04656300944614745,0.04656300944614745,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:44:50+00:00,-5.7408920571416315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2837.205,0.0,2837.205,2837.205,0.0,0.0,-12.549999999999999,-0.28000000000000036,-3.8000000000000442,91.11000000000001,0.0,0.0,0.04337200760570632,0.04337200760570632,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:45:00+00:00,-5.952339022687921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2837.205,0.0,2837.205,2837.205,0.0,0.0,-62.04,-35.79,-44.24999999999999,-28.76,0.0,0.0,0.04113408597190305,0.04113408597190305,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:45:10+00:00,-6.0600722276043335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2835.995,0.0,2835.995,2835.995,0.0,0.0,70.81999999999998,8.389999999999992,1.999999999999992,20.81,0.0,0.0,0.046384509503113444,0.046384509503113444,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:45:20+00:00,-5.954289378463986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2836.435,0.0,2836.435,2836.435,0.0,0.0,-87.38999999999999,14.990000000000006,-60.97000000000002,-48.109999999999985,0.0,0.0,0.04470305562428993,0.04470305562428993,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:45:30+00:00,-6.201113381719976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2836.125,0.0,2836.125,2836.125,0.0,0.0,-262.12,9.550000000000015,-244.85,-372.11,0.0,0.0,0.04326511099980941,0.04326511099980941,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
